iter	RMSE
378	0.4491418419
379	0.4487535893
380	0.4483758414
381	0.4470509125
382	0.445489926
383	0.4451278479
384	0.4442804859
385	0.4433026207
386	0.4425044636
387	0.4420460058
388	0.4412675025
389	0.4394504703
390	0.4391139614
391	0.4387939216
392	0.4374907365
393	0.4370681137
394	0.4364808882
395	0.4347355874
396	0.4343871336
397	0.4339858659
398	0.4335512216
399	0.4333110807
400	0.4330713167
401	0.4318578264
402	0.4311336211
403	0.4308560636
404	0.4298711356
405	0.4292847441
406	0.4290175357
407	0.4281032743
408	0.4273809251
409	0.4263777679
410	0.4258165968
411	0.4242176097
412	0.4232746273
413	0.4225946685
414	0.4223640008
415	0.4214322202
416	0.4207086088
417	0.4193454238
418	0.4175682605
419	0.4168329715
420	0.4159898747
421	0.415262151
422	0.4145124454
423	0.4139079904
424	0.4135809958
425	0.4132650493
426	0.4125216539
427	0.4118164292
428	0.411487208
429	0.4108505197
430	0.4101653805
431	0.409980468
432	0.4085576448
433	0.4077341476
434	0.4062325294
435	0.4056954867
436	0.4051934323
437	0.404215728
438	0.4033947259
439	0.4027247879
440	0.4020394894
441	0.4013807399
442	0.4000655539
443	0.3994143596
444	0.3980941768
445	0.3968267566
446	0.3966305329
447	0.3956665236
448	0.3948083534
449	0.3935862701
450	0.3924010011
451	0.3914579663
452	0.3909587703
453	0.3902997807
454	0.3901376272
455	0.389006677
456	0.3888178678
457	0.387686857
458	0.3867043784
459	0.3862203161
460	0.3860136672
461	0.3848824755
462	0.3843796906
463	0.3839781834
464	0.3831855803
465	0.382687058
466	0.382094027
467	0.3817040893
468	0.3813305832
469	0.3802050407
470	0.3795407399
471	0.3792827747
472	0.378398755
473	0.3778232776
474	0.3771702271
475	0.3765831068
476	0.375747765
477	0.3747088112
478	0.3740160424
479	0.3730049146
480	0.3723633152
481	0.371050532
482	0.3708496577
483	0.3700614365
484	0.3690998847
485	0.3686759958
486	0.3679571771
487	0.367335996
488	0.3669497368
489	0.3660303048
490	0.3657965252
491	0.365517261
492	0.364805513
493	0.364601001
494	0.3636438944
495	0.3628724394
496	0.3624857095
497	0.3619398743
498	0.3605265292
499	0.3600710826
500	0.3598455231
501	0.3596019294
502	0.358663339
503	0.3579114654
504	0.3568407387
505	0.3557749511
506	0.3554511658
507	0.3546703347
508	0.3543712957
509	0.354145417
510	0.3533749889
511	0.3530276175
512	0.3517163587
513	0.3512363935
514	0.350659601
515	0.3499498429
516	0.349091161
517	0.3483956281
518	0.3475957596
519	0.3467041174
520	0.3463763806
521	0.345001903
522	0.3448002558
523	0.3445583323
524	0.3443862966
525	0.3431140514
526	0.3422824937
527	0.3417320056
528	0.3408034598
529	0.3399771203
530	0.3392243886
531	0.3379054017
532	0.3376420549
533	0.3375168729
534	0.3369448409
535	0.3361353706
536	0.3359165785
537	0.3352214849
538	0.3344374697
539	0.3334048005
540	0.3329328428
541	0.3324715534
542	0.3317691395
543	0.3315624344
544	0.3308785206
545	0.3300083895
546	0.3295464613
547	0.3294404723
548	0.3291830599
549	0.3290726493
550	0.3289665799
551	0.3283279737
552	0.327377657
553	0.327274653
554	0.3266411076
555	0.3255509719
556	0.32512265
557	0.3246987282
558	0.3246130494
559	0.3239677628
560	0.3232239635
561	0.3229181906
562	0.3223100847
563	0.3219241356
564	0.3207970716
565	0.3200558628
566	0.3197571318
567	0.3192513582
568	0.3191827058
569	0.318953385
570	0.3180034506
571	0.3179306551
572	0.3175509202
573	0.3172693119
574	0.3171795376
575	0.3166505783
576	0.3162236877
577	0.3161377867
578	0.3152165404
579	0.3146380976
580	0.3141875177
581	0.3138511501
582	0.3133701674
583	0.3126995774
584	0.312181969
585	0.3116516002
586	0.3115364559
587	0.3111050112
588	0.3106814681
589	0.3102641895
590	0.3101801702
591	0.3099923064
592	0.3092607115
593	0.308987296
594	0.3082211846
595	0.3075657456
596	0.3073617107
597	0.3068639241
598	0.3063741102
599	0.3054837087
600	0.3050199963
601	0.3049326643
602	0.3045507612
603	0.3043729466
604	0.3037489938
605	0.3031266709
606	0.3028767154
607	0.3026869097
608	0.3023078545
609	0.3019114127
610	0.3013793591
611	0.3004019089
612	0.3000324476
613	0.2998677825
614	0.2996577213
615	0.2996339214
616	0.2994682093
617	0.299073939
618	0.2990157516
619	0.2987305504
620	0.2981515466
621	0.2980675442
622	0.2972742772
623	0.2969545576
624	0.2964447803
625	0.2960630691
626	0.295663369
627	0.2952177355
628	0.2948822506
629	0.2945687754
630	0.2942892896
631	0.2941839301
632	0.2940213077
633	0.2932390779
634	0.2927751439
635	0.2920369893
636	0.2915932849
637	0.2913038179
638	0.291124202
639	0.2909886858
640	0.2901619153
641	0.2896412687
642	0.2892057125
643	0.2887274572
644	0.2880336678
645	0.2877730109
646	0.2876244795
647	0.2872716965
648	0.2869268456
649	0.2865897345
650	0.2857319195
651	0.2853348198
652	0.2850563177
653	0.2847277339
654	0.2845040683
655	0.2842852205
656	0.2840541579
657	0.2837779383
658	0.2835375938
659	0.2833781334
660	0.2830362748
661	0.282719673
662	0.2821201432
663	0.281247752
664	0.2809089803
665	0.2801331315
666	0.2799730276
667	0.2796841478
668	0.2792098244
669	0.278728054
670	0.2783526029
671	0.2779650215
672	0.2776683121
673	0.2770691437
674	0.2766739459
675	0.2764778876
676	0.2762401779
677	0.2759054639
678	0.2756873804
679	0.2752944648
680	0.2750220095
681	0.2747008456
682	0.2746584059
683	0.2739878609
684	0.2734821941
685	0.2731635965
686	0.272963435
687	0.2729451399
688	0.2726635374
689	0.2724967757
690	0.2720917348
691	0.2716964011
692	0.2716001634
693	0.2708582378
694	0.2703381756
695	0.2700629083
696	0.269353784
697	0.2688083063
698	0.2685423852
699	0.2678459823
700	0.2676279667
701	0.2673069313
702	0.2671078897
703	0.2665133657
704	0.265971767
705	0.2657142546
706	0.26517847
707	0.2650811195
708	0.2646973132
709	0.2644489546
710	0.264044814
711	0.2638021975
712	0.263508987
713	0.2632774879
714	0.2625006726
715	0.2622887256
716	0.2618120382
717	0.2614304261
718	0.2614155578
719	0.2608818861
720	0.2604448591
721	0.260430199
722	0.2604144628
723	0.2602081564
724	0.2596689898
725	0.259330654
726	0.2589953013
727	0.2585518294
728	0.2578717924
729	0.2571438552
730	0.2569258477
731	0.2567026554
732	0.2560014904
733	0.2556149275
734	0.2554553971
735	0.2553346747
736	0.2547429321
737	0.254245698
738	0.2542307084
739	0.2538838135
740	0.2533159083
741	0.2530712017
742	0.2528556396
743	0.2524194947
744	0.251971765
745	0.2514855092
746	0.2508177841
747	0.2503825418
748	0.2500730924
749	0.2497061693
750	0.2494324216
751	0.2490631785
752	0.2488030508
753	0.24855561
754	0.2483074067
755	0.2480697323
756	0.2478231842
757	0.2473198995
758	0.2470941755
759	0.2469367548
760	0.2465797513
761	0.2464229882
762	0.2462174635
763	0.2461380277
764	0.2456321731
765	0.2454903469
766	0.2451463197
767	0.2449422224
768	0.2444759208
769	0.2441443178
770	0.2437344022
771	0.2434676195
772	0.2430663625
773	0.2426023591
774	0.2423071424
775	0.2421815634
776	0.2417708147
777	0.2416321663
778	0.2413323637
779	0.2410523901
780	0.2405507074
781	0.2403693156
782	0.2401720037
783	0.2397376383
784	0.239609477
785	0.2391539594
786	0.2388643172
787	0.2386192754
788	0.2384724928
789	0.2382210441
790	0.2378297592
791	0.2376355437
792	0.2375136215
793	0.2370809624
794	0.2368120985
795	0.2365898087
796	0.2364181449
797	0.2362531949
798	0.2357916607
799	0.2354132233
800	0.2349472581
801	0.2347902487
802	0.2346512076
803	0.2343568342
804	0.2342067665
805	0.2340696242
806	0.2338270323
807	0.2336785839
808	0.2334667504
809	0.2333575652
810	0.2331516862
811	0.2329786935
812	0.2327248336
813	0.2324734154
814	0.2322493017
815	0.2317975282
816	0.2313914987
817	0.2311661319
818	0.231067985
819	0.2306387359
820	0.2304707945
821	0.2302590803
822	0.2300959313
823	0.229888011
824	0.2296819926
825	0.2295050454
826	0.2291124659
827	0.2290171111
828	0.228696354
829	0.2285858052
830	0.2283973623
831	0.2282067033
832	0.2280391313
833	0.2276280421
834	0.2274115658
835	0.2269359491
836	0.226598351
837	0.226402138
838	0.2261138486
839	0.2259352033
840	0.2257718556
841	0.2254868706
842	0.2252032341
843	0.2249492687
844	0.224609622
845	0.2245045534
846	0.2241951297
847	0.2241836375
848	0.2240382539
849	0.2238123165
850	0.2232242254
851	0.2230944976
852	0.2228883635
853	0.2227435367
854	0.222410396
855	0.2220877683
856	0.2217593142
857	0.221463701
858	0.2213080424
859	0.220914221
860	0.2206721715
861	0.2205429385
862	0.2202847446
863	0.2201501417
864	0.2199185256
865	0.219767696
866	0.2195825707
867	0.2193449399
868	0.218904035
869	0.2187387854
870	0.2186072555
871	0.2181928459
872	0.218095736
873	0.2178068766
874	0.2175212165
875	0.2171197486
876	0.2169729731
877	0.2166998209
878	0.216535953
879	0.2162098048
880	0.2157826076
881	0.2156263893
882	0.2153137008
883	0.214926386
884	0.2147124121
885	0.2145558788
886	0.2144476512
887	0.2142420579
888	0.2141813594
889	0.2139647016
890	0.2136169666
891	0.2134212269
892	0.2132347765
893	0.2131252252
894	0.2129789003
895	0.2126038492
896	0.212494045
897	0.2123912043
898	0.2122122248
899	0.2119266638
900	0.2116652074
901	0.2115066062
902	0.2112699195
903	0.211058029
904	0.2109760025
905	0.2106208545
906	0.2103993891
907	0.2101849511
908	0.210060109
909	0.2099128514
910	0.2098028824
911	0.2095316764
912	0.2092731467
913	0.2088897423
914	0.2086531657
915	0.2084719748
916	0.2081756681
917	0.2079700252
918	0.2077708028
919	0.2076387817
920	0.2075398513
921	0.2074079192
922	0.2072854546
923	0.2071495356
924	0.2069854703
925	0.2068653106
926	0.2066657219
927	0.2064776575
928	0.2063336155
929	0.2062081829
930	0.2060383452
931	0.2057441937
932	0.2055550642
933	0.2051845289
934	0.2049272546
935	0.2046260008
936	0.2042860037
937	0.2041651592
938	0.204092951
939	0.2039933548
940	0.2039011267
941	0.2036748496
942	0.203165662
943	0.2029766304
944	0.2027622395
945	0.2025956324
946	0.2022303923
947	0.2018673949
948	0.2017347485
949	0.2014486601
950	0.201247113
951	0.2011766242
952	0.2010745085
953	0.2008038179
954	0.2005948841
955	0.2004433258
956	0.2000201795
957	0.1998317285
958	0.1996917134
959	0.1995485602
960	0.1993207414
961	0.1990664113
962	0.1988105772
963	0.1984041276
964	0.1980623003
965	0.1978593712
966	0.1977597091
967	0.1975641817
968	0.1971303467
969	0.1969855601
970	0.1969004433
971	0.196695911
972	0.1966170309
973	0.1965052653
974	0.196408265
975	0.1960367913
976	0.1958470427
977	0.1957323834
978	0.1955279283
979	0.1951764988
980	0.1947906646
981	0.1946584663
982	0.1945199021
983	0.1944544761
984	0.1943192113
985	0.194191006
986	0.1940109413
987	0.1936101593
988	0.1935493498
989	0.1933089823
990	0.1932086042
991	0.1930698961
992	0.1930060841
993	0.1928716535
994	0.1927584902
995	0.1926413634
996	0.1923429466
997	0.1920314763
998	0.1919222635
999	0.1918278659
